Nâng cấp bắt đầu: 18:07:53_28-12-2022
18:07:53_28-12-2022 | 171.235.180.88 | Cập nhật module News lên 4.5.03 | SUCCESS
18:07:54_28-12-2022 | 171.235.180.88 | Cập nhật CSDL lên phiên bản 4.5.03 | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Tạo thư mục assets/editors/ckeditor/plugins/eqneditor/dialogs/lang | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Tạo thư mục assets/js/plyr | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file admin/authors/2step.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file admin/authors/2step_zalo.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file admin/authors/api-credentials.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file admin/authors/api-roles.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file admin/authors/module.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file admin/index.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file admin/language/check.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file admin/modules/change_custom_name.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file admin/modules/change_site_title.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file admin/settings/admin.menu.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file admin/settings/functions.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file admin/settings/security.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file admin/settings/system.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file admin/upload/config.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file admin/upload/thumbconfig.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file admin/upload/uploadconfig.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file admin/zalo/admin.menu.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file admin/zalo/functions.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file admin/zalo/index.html | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file admin/zalo/main.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file admin/zalo/settings.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file api.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/css/rss.xsl | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/LICENSE.md | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/adapters/jquery.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/build-config.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/ckeditor.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/contents.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/lang/en.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/lang/fr.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/lang/vi.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/nv.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/balloonpanel/skins/kama/balloonpanel.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/balloonpanel/skins/moono/balloonpanel.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/balloonpanel/skins/moono-lisa/balloonpanel.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/clipboard/dialogs/paste.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/codesnippet/dialogs/codesnippet.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/colordialog/dialogs/colordialog.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/colordialog/dialogs/colordialog.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/copyformatting/styles/copyformatting.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/dialog/dialogDefinition.js | SUCCESS
